yearbook_year,page,name,last_name,prefix,suffix,gender,position,position_information,organization,group,conference,institution_name,location,region
1919,6,S. E. McNeill,McNeill,,,male,Assistant Auditor,,General Conference,,General Conference,,"Takoma Park Station, Washington, D. C.",United States
1919,6,H. E. Rogers,Rogers,,,male,Statistical Secretary,,General Conference,,General Conference,,"Takoma Park Station, Washington, D. C.",United States
1919,6,A. G. Daniells,Daniells,,,male,Committee Member,,General Conference Committee,General,General Conference,,"Takoma Park Station, Washington, D. C.",United States
1919,6,E. E. Andross,Andross,,,male,Committee Member,,General Conference Committee,General,General Conference,,"Takoma Park Station, Washington, D. C.",United States
1919,6,L. R. Conradi,Conradi,,,male,Committee Member,,General Conference Committee,General,General Conference,,"Hamburg, Germany",Europe
1919,6,I. H. Evans,Evans,,,male,Committee Member,,General Conference Committee,General,General Conference,,"Shanghai, China",Eastern Asia
1919,6,J. E. Fulton,Fulton,,,male,Committee Member,,General Conference Committee,General,General Conference,,"Lucknow, India",Asia
1919,6,O. Montgomery,Montgomery,,,male,Committee Member,,General Conference Committee,General,General Conference,,"Buenos Aires, Argentina, South America",South America
1919,6,W. A. Spicer,Spicer,,,male,Committee Member,,General Conference Committee,General,General Conference,,"Takoma Park Station, Washington, D. C.",United States
1919,6,W. T. Knox,Knox,,,male,Committee Member,,General Conference Committee,General,General Conference,,"Takoma Park Station, Washington, D. C.",United States
1919,6,J. L. Shaw,Shaw,,,male,Committee Member,,General Conference Committee,General,General Conference,,"Takoma Park Station, Washington, D. C.",United States
1919,6,W. W. Prescott,Prescott,,,male,Committee Member,,General Conference Committee,General,General Conference,,"Takoma Park, Washington, D. C.",United States
1919,6,G. B. Thompson,Thompson,,,male,Committee Member,,General Conference Committee,General,General Conference,,"Takoma Park, Washington, D. C.",United States
1919,6,R. D. Quinn,Quinn,,,male,President,Atlantic Union Conference,Atlantic Union Conference,Presidents of Union Conferences,Atlantic Union,,"South Lancaster, Mass.",United States
1919,6,R. A. Underwood,Underwood,,,male,President,Central Union Conference,Central Union Conference,Presidents of Union Conferences,Central Union,,"College View, Nebr.",United States
1919,6,F. H. Robbins,Robbins,,,male,President,Columbia Union Conference,Columbia Union Conference,Presidents of Union Conferences,Columbia Union,,"Takoma Park Station, Washington, D. C.",United States
1919,6,A. V. Olson,Olson,,,male,President,Eastern Canadian Union Conference,Eastern Canadian Union Conference,Presidents of Union Conferences,Eastern Canadian Union,,"Oshawa, Ontario, Canada",Canada
1919,6,Wm. Guthrie,Guthrie,,,male,President,Lake Union Conference,Lake Union Conference,Presidents of Union Conferences,Lake Union,,"Berrien Springs, Mich.",United States
1919,6,Chas. Thompson,Thompson,,,male,President,Northern Union Conference,Northern Union Conference,Presidents of Union Conferences,Northern Union,,"Minneapolis, Minn.",United States
1919,6,C. W. Flaiz,Flaiz,,,male,President,North Pacific Union Conference,North Pacific Union Conference,Presidents of Union Conferences,North Pacific Union,,"College Place, Wash.",United States
1919,6,J. W. Christian,Christian,,,male,President,Pacific Union Conference,Pacific Union Conference,Presidents of Union Conferences,Pacific Union,,"Glendale, Cal.",United States
1919,6,W. H. Branson,Branson,,,male,President,Southeastern Union Conference,Southeastern Union Conference,Presidents of Union Conferences,Southeastern Union,,"Atlanta, Ga.",United States
1919,6,S. E. Wight,Wight,,,male,President,Southern Union Conference,Southern Union Conference,Presidents of Union Conferences,Southern Union,,"Nashville, Tenn.",United States
1919,6,Morris Lukens,Lukens,,,male,President,Southwestern Union Conference,Southwestern Union Conference,Presidents of Union Conferences,Southwestern Union,,"Oklahoma City, Okla.",United States
1919,6,C. F. McVagh,McVagh,,,male,President,Western Canadian Union Conference,Western Canadian Union Conference,Presidents of Union Conferences,Western Canadian Union,,"Calgary, Alberta, Canada",Canada
1919,6,G. W. Shubert,Shubert,,,male,President,Central European Union Conference,Central European Union Conference,Presidents of Union Conferences,Central European Union,,"Munich, Germany",Europe
1919,6,J. F. Huenergardt,Huenergardt,,,male,President,Danube Union Conference,Danube Union Conference,Presidents of Union Conferences,Danube Union,,"Budapest I, Hungary",Europe
1919,6,H. F. Schuberth,Schuberth,,,male,President,East German Union Conference,East German Union Conference,Presidents of Union Conferences,East German Union,,"Berlin-Charl., Germany",Europe
1919,6,J. F. Ginter,Ginter,,,male,President,East Russian Union Conference,East Russian Union Conference,Presidents of Union Conferences,East Russian Union,,"Saratov, Russia",Europe
1919,6,H. J. Loebsack,Loebsack,,,male,President,West Russian Union Conference,West Russian Union Conference,Presidents of Union Conferences,West Russian Union,,"Saratov, Russia",Europe
1919,6,O. E. Reinke,Reinke,,,male,President,Siberian Union Mission,Siberian Union Mission,Presidents of Union Conferences,Siberian Union Mission,,"Saratov, Russia",Europe
